year	depto	puestos
2014	Colón	9073
2014	Concordia	22257
2014	Diamante	6148
2014	Federación	7518
2014	Federal	1991
2014	Feliciano	864
2014	Gualeguay	6038
2014	Gualeguaychú	15186
2014	Islas del Ibicuy	767
2014	La Paz	5930
2014	Nogoyá	3842
2014	Paraná	45536
2014	San Salvador	1857
2014	Tala	1928
2014	Uruguay	13197
2014	Victoria	4134
2014	Villaguay	3628
2015	Colón	9185
2015	Concordia	22549
2015	Diamante	6313
2015	Federación	7447
2015	Federal	1965
2015	Feliciano	832
2015	Gualeguay	6088
2015	Gualeguaychú	15428
2015	Islas del Ibicuy	705
2015	La Paz	6037
2015	Nogoyá	3944
2015	Paraná	46479
2015	San Salvador	1864
2015	Tala	1899
2015	Uruguay	13247
2015	Victoria	4145
2015	Villaguay	3605
2016	Colón	9089
2016	Concordia	22094
2016	Diamante	6339
2016	Federación	7376
2016	Federal	1883
2016	Feliciano	853
2016	Gualeguay	5988
2016	Gualeguaychú	14913
2016	Islas del Ibicuy	622
2016	La Paz	5878
2016	Nogoyá	3880
2016	Paraná	46533
2016	San Salvador	1866
2016	Tala	1823
2016	Uruguay	13193
2016	Victoria	3880
2016	Villaguay	3529
2017	Colón	8992
2017	Concordia	21912
2017	Diamante	6364
2017	Federación	7421
2017	Federal	1950
2017	Feliciano	902
2017	Gualeguay	6057
2017	Gualeguaychú	14833
2017	Islas del Ibicuy	743
2017	La Paz	5888
2017	Nogoyá	3909
2017	Paraná	47352
2017	San Salvador	1881
2017	Tala	1849
2017	Uruguay	13195
2017	Victoria	3858
2017	Villaguay	3566
2018	Colón	8946
2018	Concordia	21862
2018	Diamante	6370
2018	Federación	7361
2018	Federal	1965
2018	Feliciano	920
2018	Gualeguay	6043
2018	Gualeguaychú	14801
2018	Islas del Ibicuy	720
2018	La Paz	6040
2018	Nogoyá	3903
2018	Paraná	47015
2018	San Salvador	1942
2018	Tala	1853
2018	Uruguay	13058
2018	Victoria	3837
2018	Villaguay	3602
2019	Colón	8860
2019	Concordia	21755
2019	Diamante	6376
2019	Federación	7078
2019	Federal	1922
2019	Feliciano	890
2019	Gualeguay	5946
2019	Gualeguaychú	14360
2019	Islas del Ibicuy	757
2019	La Paz	6063
2019	Nogoyá	3837
2019	Paraná	45701
2019	San Salvador	1864
2019	Tala	1810
2019	Uruguay	13043
2019	Victoria	3776
2019	Villaguay	3580
2020	Colón	8732
2020	Concordia	19935
2020	Diamante	6317
2020	Federación	6801
2020	Federal	1890
2020	Feliciano	882
2020	Gualeguay	5879
2020	Gualeguaychú	14179
2020	Islas del Ibicuy	742
2020	La Paz	5907
2020	Nogoyá	3805
2020	Paraná	44242
2020	San Salvador	1852
2020	Tala	1725
2020	Uruguay	12732
2020	Victoria	3705
2020	Villaguay	3548
2021	Colón	8792
2021	Concordia	20411
2021	Diamante	6511
2021	Federación	6799
2021	Federal	2011
2021	Feliciano	918
2021	Gualeguay	6072
2021	Gualeguaychú	14357
2021	Islas del Ibicuy	777
2021	La Paz	6114
2021	Nogoyá	3865
2021	Paraná	45230
2021	San Salvador	1914
2021	Tala	1787
2021	Uruguay	13125
2021	Victoria	3820
2021	Villaguay	3835
2022	Colón	9334
2022	Concordia	20167
2022	Diamante	6697
2022	Federación	7037
2022	Federal	2030
2022	Feliciano	983
2022	Gualeguay	6318
2022	Gualeguaychú	15123
2022	Islas del Ibicuy	801
2022	La Paz	6538
2022	Nogoyá	3999
2022	Paraná	47349
2022	San Salvador	2025
2022	Tala	1895
2022	Uruguay	13744
2022	Victoria	3986
2022	Villaguay	4036
2023	Colón	9775
2023	Concordia	20141
2023	Diamante	6764
2023	Federación	7243
2023	Federal	2092
2023	Feliciano	995
2023	Gualeguay	6515
2023	Gualeguaychú	15735
2023	Islas del Ibicuy	884
2023	La Paz	6803
2023	Nogoyá	4121
2023	Paraná	48142
2023	San Salvador	2044
2023	Tala	1988
2023	Uruguay	14202
2023	Victoria	4041
2023	Villaguay	4040
